filename,burstNo,lengthTo,lengthFrom,maxLenTo,minLenTo,meanLenTo,medianLenTo,varTo,maxLenFrom,minLenFrom,meanLenFrom,medianLenFrom,varFrom
AlexaTimed2,3,1.821,1.487,1494,54,478.609756097561,491,156517.845829569,1494,54,216.356164383562,54,185067.454718417
AlexaTimed2,6,2.399,12.149,1494,54,437.280373831776,491,151974.958384765,1494,54,629.175182481752,54,460960.248497209
AlexaTimed2,10,2.034,2.209,1494,54,479.426966292135,491,146474.042900919,1494,54,262.243902439024,54,228439.396567299
AlexaTimed2,12,1.345,5.957,1494,54,506.246575342466,491,222128.271689498,1494,54,523.108695652174,54,397775.021022456
AlexaTimed2,15,1.552,1.538,1494,54,479.712328767123,491,179364.485540335,1494,54,238.954545454545,54,200741.89020979
AlexaTimed2,19,2.326,12.854,1494,54,458.525252525253,491,159738.986600701,1494,54,659.391304347826,127,461531.612186607
AlexaTimed2,25,2.042,11.582,1494,54,461.404494382022,491,169418.016343207,1494,54,668.170731707317,171,455601.290283886
AlexaTimed2,29,2.127,3.855,1494,54,495.277108433735,491,148700.83690861,1494,54,357.647727272727,54,308729.931948798
AlexaTimed2,31,3.255,3.866,1494,54,474.931623931624,491,108864.47804303,1494,54,285.44347826087,54,252091.35423341
AlexaTimed2,36,1.912,8.642,1494,54,518.931034482759,491,144186.483560545,1494,54,506.6,54,394097.280620155
AlexaTimed2,39,1.258,1.632,1494,54,531.45,491,191748.15,1494,54,242.27868852459,54,199935.904371585
AlexaTimed2,42,2.674,8.276,1494,54,476.117647058824,491,144644.124635993,1494,54,501.528455284553,54,403021.480741037
AlexaTimed2,45,2.538,2.034,1494,54,535.305882352941,491,127003.881512605,1494,54,228.968421052632,54,199177.945800672
AlexaTimed2,50,2.317,2.133,1494,54,506.965909090909,491,132450.722962382,1494,54,254.313953488372,54,224448.970861833
AlexaTimed2,52,2.94,15.998,1494,54,382.958904109589,491,135554.770713274,1494,54,653.880681818182,123.5,466868.094253247
AlexaTimed2,55,1.581,1.462,1494,54,508.918918918919,491,172601.308404295,1494,54,240.449275362319,54,201889.133418585
