filename,class,maxLen,minLen,meanLen,medianLen,127.0.0.1,192.111.144.114,192.168.4.2,198.137.202.56,204.2.134.163,207.171.178.6,23.23.78.21,34.194.105.124,52.94.221.173,Protocol: 0,Protocol: 6,Protocol: 17
AlexaTime1burst1.pcap,,1494,0,395.59859154929575,209.5,0,0,1,0,0,0,0,0,1,0,1,0
AlexaTime1burst10.pcap,,201,0,100.5,100.5,0,0,1,0,0,0,1,0,0,0,0,1
AlexaTime1burst11.pcap,,1494,0,362.0927152317881,54,0,0,1,0,0,0,0,0,1,0,1,0
AlexaTime1burst12.pcap,,176,0,76.66666666666667,54,0,0,1,0,0,0,0,0,1,0,1,0
AlexaTime1burst13.pcap,,90,0,60,90,0,0,1,1,0,0,0,0,0,0,0,1
AlexaTime1burst14.pcap,,90,0,60,90,0,0,1,0,0,1,0,0,0,0,0,1
AlexaTime1burst15.pcap,,90,0,60,90,0,1,1,0,0,0,0,0,0,0,0,1
AlexaTime1burst16.pcap,,95,0,70.66666666666667,90.0,0,0,1,0,1,0,0,0,1,0,1,1
AlexaTime1burst17.pcap,,201,0,100.5,100.5,0,0,1,0,0,0,1,0,0,0,0,1
AlexaTime1burst18.pcap,,1494,0,391.64028776978415,150,0,0,1,0,0,0,0,0,1,0,1,0
AlexaTime1burst2.pcap,,176,0,76.66666666666667,54,0,0,1,0,0,0,0,0,1,0,1,0
AlexaTime1burst3.pcap,,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0
AlexaTime1burst4.pcap,,201,0,100.5,100.5,0,0,1,0,0,0,1,0,0,0,0,1
AlexaTime1burst5.pcap,,90,0,60,90,0,0,1,1,0,0,0,0,0,0,0,1
AlexaTime1burst6.pcap,,90,0,72,90,0,1,1,0,0,1,0,0,0,0,0,1
AlexaTime1burst7.pcap,,90,0,60,90,0,0,1,0,1,0,0,0,0,0,0,1
AlexaTime1burst8.pcap,,99,0,65.5,81.5,0,0,1,0,0,0,0,1,0,0,1,0
AlexaTime1burst9.pcap,,95,0,59.6,54,0,0,1,0,0,0,0,0,1,0,1,0
